business_name,website,public_phone,public_business_email,city,state,category,source_url
Scott Roofing Company,https://scottroofingco.com/,(602) 442-7663,,Phoenix,AZ,roofing contractor,https://scottroofingco.com/
O'Danny Boy Builders,https://www.odannyboybuilders.com/,(708) 854-6029,,Chicago,IL,roofing contractor,https://www.odannyboybuilders.com/
Philadelphia Quality Roofing,https://philadelphiaqualityroofing.com/,(844) 820-9818,,Philadelphia,PA,roofing contractor,https://philadelphiaqualityroofing.com/
Cal Roof,https://calroof.com/,(619) 500-1119,,San Diego,CA,roofing contractor,https://calroof.com/
Roof King & Restoration,https://www.roofkingco.com/,(614) 490-0123,,Columbus,OH,roofing contractor,https://www.roofkingco.com/
Charlotte Roofing Specialists,https://www.charlotteroofing.com/,(704) 364-3464,,Charlotte,NC,roofing contractor,https://www.charlotteroofing.com/
State Roofing & Exteriors,https://www.stateroofing.com/,(253) 480-6962,,Seattle,WA,roofing contractor,https://www.stateroofing.com/
